City,Postal Code,Sub-Category,Product Name,Sales,Quantity,Discount,Year,Month
Los Angeles,90049,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,2013,1
Los Angeles,90049,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,2013,1
Philadelphia,19140,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,2012,9
Philadelphia,19140,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,2012,9
Philadelphia,19140,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,2012,9
Philadelphia,19140,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,2012,9
Philadelphia,19140,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,2012,9
Philadelphia,19140,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,2012,9
Philadelphia,19140,Art,Lumber Crayons,15.76,2,0.2,2012,9
Houston,77095,Paper,Staples,29.472,3,0.2,2014,10
Richardson,75080,Phones,GE 30524EE4,1097.544,7,0.2,2013,12
Richardson,75080,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,2013,12
Houston,77041,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,2012,12
Houston,77041,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,2012,12
Houston,77041,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,2012,12
Houston,77041,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,2012,12
Naperville,60540,Phones,Panasonic Kx-TS550,147.168,4,0.2,2014,9
Los Angeles,90049,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,2013,7
Melbourne,32935,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,2014,9
Eagan,55122,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,2013,3
Eagan,55122,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,2013,3
Westland,48185,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,2011,10
Dover,19901,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,2013,6
Dover,19901,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,2013,6
New Albany,47150,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,2012,4
New Albany,47150,Labels,Avery 485,75.18,6,0.0,2012,4
New Albany,47150,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2012,4
New Albany,47150,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,2012,4
New York City,10024,Fasteners,Advantus Push Pins,15.26,7,0.0,2013,12
New York City,10024,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,2013,12
Troy,12180,Storage,Home/Office Personal File Carts,208.56,6,0.0,2013,6
Troy,12180,Paper,Xerox 232,32.4,5,0.0,2013,6
Troy,12180,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,2013,6
Troy,12180,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,2013,6
Troy,12180,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,2013,6
Troy,12180,Binders,Plastic Binding Combs,48.48,4,0.2,2013,6
Troy,12180,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,2013,6
Los Angeles,90004,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,2012,11
Los Angeles,90004,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,2012,11
Los Angeles,90004,Paper,Xerox 1943,146.73,3,0.0,2012,11
Los Angeles,90004,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,2012,11
Chicago,60610,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,2012,4
Gilbert,85234,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,2011,12
Gilbert,85234,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,2011,12
Springfield,22153,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,2013,6
New York City,10009,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,2013,9
Jackson,49201,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,2014,9
Memphis,38109,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,2012,4
Memphis,38109,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,2012,4
Memphis,38109,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,2012,4
Houston,77041,Binders,Economy Binders,1.248,3,0.8,2014,12
Houston,77041,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,2014,12
Houston,77041,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2014,12
Houston,77070,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,2011,11
Decatur,35601,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,2013,6
Decatur,35601,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,2013,6
San Francisco,94122,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,2011,10
San Francisco,94122,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,2011,10
Durham,27707,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,2012,9
Chicago,60623,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,2014,11
Columbia,29203,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,2014,5
Rochester,55901,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,2014,10
Rochester,55901,Labels,Avery 511,6.16,2,0.0,2014,10
Houston,77095,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,2013,4
Los Angeles,90036,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,2013,9
Los Angeles,90036,Phones,Panasonic Kx-TS550,73.584,2,0.2,2013,9
Los Angeles,90036,Paper,Xerox 1995,6.48,1,0.0,2013,9
Minneapolis,55407,Paper,Xerox 1999,12.96,2,0.0,2012,1
Minneapolis,55407,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,2012,1
Minneapolis,55407,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,2012,1
Portland,97206,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,2014,11
New York City,10009,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,2014,11
San Francisco,94122,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,2014,6
Saint Paul,55106,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,2013,9
Chicago,60610,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,2013,8
Chicago,60610,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,2013,8
Chicago,60610,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,2013,8
Rochester,55901,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,2013,12
Aurora,80013,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,2012,11
Aurora,80013,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,2012,11
Aurora,80013,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,2012,11
Charlotte,28205,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,2014,11
Charlotte,28205,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2014,11
Charlotte,28205,Art,Newell Chalk Holder,3.304,1,0.2,2014,11
Orland Park,60462,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,2012,10
New York City,10035,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,2014,12
Urbandale,50322,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,2013,11
Urbandale,50322,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,2013,11
Columbus,43229,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,2011,8
Columbus,43229,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,2011,8
Columbus,43229,Paper,Xerox 1921,23.976,3,0.2,2011,8
Columbus,43229,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,2011,8
Seattle,98103,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,2012,3
Bristol,37620,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,2012,4
Wilmington,19805,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,2013,6
Wilmington,19805,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.0,2013,6
Wilmington,19805,Storage,"Companion Letter/Legal File, Black",226.56,6,0.0,2013,6
Wilmington,19805,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.0,2013,6
Wilmington,19805,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0.0,2013,6
Houston,77041,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,2011,12
Bloomington,61701,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,2011,9
Phoenix,85023,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,2014,11
Phoenix,85023,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,2014,11
Los Angeles,90004,Chairs,"Global Task Chair, Black",81.424,2,0.2,2013,11
Los Angeles,90004,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.0,2013,11
Columbus,43229,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,2014,2
Columbus,43229,Paper,Xerox 1916,78.304,2,0.2,2014,2
Columbus,43229,Fasteners,Staples,21.456,9,0.2,2014,2
Roseville,95661,Paper,Xerox 195,20.04,3,0.0,2013,10
Roseville,95661,Paper,Xerox 1880,35.44,1,0.0,2013,10
Roseville,95661,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0.0,2013,10
Roseville,95661,Fasteners,Ideal Clamps,4.02,2,0.0,2013,10
Roseville,95661,Binders,GBC Wire Binding Strips,76.176,3,0.2,2013,10
Roseville,95661,Supplies,Fiskars Softgrip Scissors,65.88,6,0.0,2013,10
Roseville,95661,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0.0,2013,10
Philadelphia,19140,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,2013,9
San Francisco,94122,Art,Newell 343,8.82,3,0.0,2014,9
San Francisco,94122,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0.0,2014,9
San Francisco,94122,Paper,Xerox 1911,143.7,3,0.0,2014,9
Independence,64055,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0.0,2014,12
Pasadena,91104,Storage,Safco Industrial Wire Shelving,671.93,7,0.0,2012,9
Newark,43055,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,2011,10
Franklin,53132,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0.0,2013,12
Franklin,53132,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0.0,2013,12
Franklin,53132,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0.0,2013,12
Franklin,53132,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0.0,2013,12
Scottsdale,85254,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,2013,3
Scottsdale,85254,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,2013,3
San Jose,95123,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0.0,2012,5
San Jose,95123,Paper,Xerox 1883,105.52,4,0.0,2012,5
San Jose,95123,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0.0,2012,5
Seattle,98105,Art,Newell 311,6.63,3,0.0,2012,5
Seattle,98115,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,2011,3
Edmond,73034,Labels,Avery 519,14.62,2,0.0,2013,11
Edmond,73034,Phones,Avaya 5420 Digital phone,944.93,7,0.0,2013,11
Los Angeles,90045,Paper,Xerox 1920,5.98,1,0.0,2013,5
Philadelphia,19134,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,2012,12
Carlsbad,88220,Envelopes,Staples,28.4,5,0.0,2013,11
Seattle,98115,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,2013,11
San Antonio,78207,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2011,9
San Antonio,78207,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,2011,9
San Antonio,78207,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,2011,9
San Antonio,78207,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,2011,9
San Antonio,78207,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2,2011,9
San Antonio,78207,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,2011,9
San Antonio,78207,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,0.2,2011,9
Los Angeles,90004,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,0.0,2011,8
Los Angeles,90004,Paper,Xerox 1913,110.96,2,0.0,2011,8
Los Angeles,90004,Chairs,"Global Value Steno Chair, Gray",340.144,7,0.2,2011,8
Chicago,60623,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8,2011,9
Chicago,60623,Labels,Avery 51,20.16,4,0.2,2011,9
Houston,77036,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,2014,4
Newark,43055,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,2012,11
Newark,43055,Supplies,Acme Rosewood Handle Letter Opener,15.88,5,0.2,2012,11
New York City,10009,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,0.0,2012,12
Decatur,62521,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,2011,12
Decatur,62521,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,7,0.2,2011,12
Monroe,71203,Phones,AT&T TR1909W,503.96,4,0.0,2011,11
Monroe,71203,Phones,Nokia Lumia 521 (T-Mobile),149.95,5,0.0,2011,11
Monroe,71203,Accessories,HP Standard 104 key PS/2 Keyboard,29.0,2,0.0,2011,11
Fairfield,6824,Binders,Avery Poly Binder Pockets,7.16,2,0.0,2013,11
Los Angeles,90032,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,0.0,2011,8
Grand Prairie,75051,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3,0.2,2013,7
Grand Prairie,75051,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,0.2,2013,7
New York City,10035,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.2,2012,10
New York City,10035,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,0.0,2012,10
New York City,10035,Paper,Xerox 205,51.84,8,0.0,2012,10
New York City,10035,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,0.2,2012,10
New York City,10035,Art,4009 Highlighters by Sanford,19.9,5,0.0,2012,10
Redlands,92374,Envelopes,Poly String Tie Envelopes,14.28,7,0.0,2012,10
Hamilton,45011,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,2011,3
Hamilton,45011,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,3,0.2,2011,3
Westfield,7090,Storage,Decoflex Hanging Personal Folder File,46.26,3,0.0,2014,11
Philadelphia,19120,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,0.7,2014,7
Philadelphia,19120,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,0.2,2014,7
Akron,44312,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2,2014,6
Denver,80219,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,2011,8
Denver,80219,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,2011,8
Dallas,75220,Appliances,Eureka Sanitaire  Commercial Upright,66.284,2,0.8,2014,12
Franklin,37064,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,2014,6
Whittier,90604,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4,0.2,2014,12
Saginaw,48601,Storage,"Tennsco Lockers, Gray",83.92,4,0.0,2014,12
Saginaw,48601,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,0.0,2014,12
Saginaw,48601,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0.0,2014,12
Saginaw,48601,Fasteners,"Advantus Push Pins, Aluminum Head",52.29,9,0.0,2014,12
Saginaw,48601,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,0.0,2014,12
Dallas,75220,Accessories,Memorex Micro Travel Drive 8 GB,20.8,2,0.2,2012,2
Medina,44256,Labels,Avery 505,23.68,2,0.2,2012,1
Medina,44256,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.5,2012,1
Medina,44256,Phones,Speck Products Candyshell Flip Case,62.982,3,0.4,2012,1
Medina,44256,Machines,Cisco 9971 IP Video Phone Charcoal,1188.0,9,0.7,2012,1
Medina,44256,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2,0.2,2012,1
Los Angeles,90032,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6,0.0,2013,10
Los Angeles,90032,Phones,Adtran 1202752G1,302.376,3,0.2,2013,10
Dublin,43017,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584,2,0.2,2012,12
Dublin,43017,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704,6,0.2,2012,12
Dublin,43017,Binders,Ibico Standard Transparent Covers,19.776,4,0.7,2012,12
Dublin,43017,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,4,0.2,2012,12
Dublin,43017,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.988,4,0.7,2012,12
Dublin,43017,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,2,0.2,2012,12
Detroit,48227,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2,1,0.0,2012,8
Detroit,48227,Tables,Bevis 36 x 72 Conference Tables,622.45,5,0.0,2012,8
Detroit,48227,Storage,Rogers Deluxe File Chest,21.98,1,0.0,2012,8
Columbia,38401,Chairs,Global Low Back Tilter Chair,161.568,2,0.2,2012,2
Columbia,38401,Chairs,"Global Push Button Manager's Chair, Indigo",389.696,8,0.2,2012,2
Charlotte,28205,Binders,GBC Instant Index System for Binding Systems,18.648,7,0.7,2011,9
Tampa,33614,Tables,Bush Advantage Collection Round Conference Table,233.86,2,0.45,2014,4
Tampa,33614,Tables,Bretford Rectangular Conference Table Tops,620.6145,3,0.45,2014,4
Tampa,33614,Binders,GBC Instant Index System for Binding Systems,5.328,2,0.7,2014,4
Tampa,33614,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,3,0.2,2014,4
Tampa,33614,Accessories,Logitech P710e Mobile Speakerphone,617.976,3,0.2,2014,4
Santa Clara,95051,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2,0.0,2014,11
Chicago,60610,Paper,Xerox 1957,25.92,5,0.2,2013,6
Chicago,60610,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,5,0.6,2013,6
Chicago,60610,Furnishings,Staples,11.688,3,0.6,2013,6
Chicago,60610,Phones,PureGear Roll-On Screen Protector,31.984,2,0.2,2013,6
Chicago,60610,Tables,KI Conference Tables,177.225,5,0.5,2013,6
Chicago,60610,Furnishings,Eldon 100 Class Desk Accessories,4.044,3,0.6,2013,6
Chicago,60610,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,2013,6
Lakeville,55044,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0.0,2011,6
Lakeville,55044,Storage,Safco Steel Mobile File Cart,166.72,2,0.0,2011,6
Lakeville,55044,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,6,0.0,2011,6
Lakeville,55044,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,5,0.0,2011,6
Lakeville,55044,Paper,Xerox 205,25.92,4,0.0,2011,6
San Francisco,94109,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568,2,0.2,2013,12
San Diego,92037,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1,0.0,2013,9
San Diego,92037,Accessories,Logitech P710e Mobile Speakerphone,3347.37,13,0.0,2013,9
New York City,10024,Storage,"Fellowes Personal Hanging Folder Files, Navy",80.58,6,0.0,2013,12
New York City,10024,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92,4,0.0,2013,12
Chicago,60623,Furnishings,Eldon 100 Class Desk Accessories,12.132,9,0.6,2012,11
Chicago,60623,Storage,"Belkin 19"" Vented Equipment Shelf, Black",82.368,2,0.2,2012,11
Chicago,60623,Storage,"Tenex Personal Project File with Scoop Front Design, Black",53.92,5,0.2,2012,11
Chicago,60623,Phones,Logitech Mobile Speakerphone P710e - speaker phone,647.904,6,0.2,2012,11
New York City,10009,Accessories,Sabrent 4-Port USB 2.0 Hub,20.37,3,0.0,2014,12
New York City,10009,Storage,Safco Industrial Shelving,221.55,3,0.0,2014,12
New York City,10009,Binders,Acco 3-Hole Punch,17.52,5,0.2,2014,12
Pasadena,77506,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624,2,0.8,2014,6
Houston,77036,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,3,0.4,2011,9
Houston,77036,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,7,0.4,2011,9
Chicago,60610,Phones,Cisco Small Business SPA 502G VoIP phone,328.224,4,0.2,2013,6
Brentwood,94513,Accessories,Microsoft Sculpt Comfort Mouse,79.9,2,0.0,2012,11
Chapel Hill,27514,Art,"Quartet Omega Colored Chalk, 12/Pack",14.016,3,0.2,2014,6
Morristown,7960,Fasteners,Bagged Rubber Bands,7.56,6,0.0,2013,1
Cincinnati,45231,Storage,Safco Commercial Shelving,37.208,1,0.2,2014,12
Cincinnati,45231,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",57.576,3,0.2,2014,12
San Francisco,94110,Storage,Adjustable Depth Letter/Legal Cart,725.84,4,0.0,2014,12
San Francisco,94109,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93,7,0.0,2012,7
San Francisco,94109,Furnishings,Regeneration Desk Collection,5.28,3,0.0,2012,7
San Francisco,94109,Binders,Presstex Flexible Ring Binders,10.92,3,0.2,2012,7
Inglewood,90301,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82,2,0.0,2014,9
Inglewood,90301,Art,Newell 330,5.98,1,0.0,2014,9
